2026-02-12 12:57:02 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:29 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:30 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:31 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:33 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:34 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:36 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:37 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:39 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:40 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:42 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:43 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:50 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:52 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:54 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:55 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:57 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:58 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 13:57:04 | INFO     | __main__ | ============================================================
2026-02-12 13:57:04 | INFO     | __main__ | Initializing Trading System
2026-02-12 13:57:04 | INFO     | __main__ | ============================================================
2026-02-12 13:57:04 | INFO     | __main__ | 1. Connecting to MT5...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Connected to MT5
2026-02-12 13:57:04 | INFO     | __main__ | 2. Loading symbols...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Loaded 2 symbols
2026-02-12 13:57:04 | INFO     | __main__ | 3. Initializing data engine...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Data engine ready
2026-02-12 13:57:04 | INFO     | __main__ | 4. Initializing risk engine...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Risk engine ready
2026-02-12 13:57:04 | INFO     | __main__ | 5. Initializing execution engine...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Execution engine ready
2026-02-12 13:57:04 | INFO     | __main__ | 6. Initializing trade journal...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Trade journal ready
2026-02-12 13:57:04 | INFO     | __main__ | 7. Initializing portfolio engine...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Portfolio engine ready
2026-02-12 13:57:04 | INFO     | __main__ | 8. Initializing state manager...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ State manager ready (env: live)
2026-02-12 13:57:04 | INFO     | __main__ | 7b. Initializing metrics tracker...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Metrics tracker ready
2026-02-12 13:57:04 | INFO     | __main__ | 7c. Initializing dashboard...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Dashboard ready
2026-02-12 13:57:04 | INFO     | __main__ | 8. Initializing strategies...
2026-02-12 13:57:04 | INFO     | __main__ | ✓ Strategies ready
2026-02-12 13:57:04 | INFO     | __main__ | 9. Checking for previous state...
2026-02-12 13:57:05 | INFO     | src.state.state_manager | Starting crash recovery
2026-02-12 13:57:05 | INFO     | src.state.state_manager | No saved state found - starting fresh
2026-02-12 13:57:05 | WARNING  | src.state.state_manager | No saved state - creating fresh state from MT5
2026-02-12 13:57:05 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:57:05 | INFO     | src.state.state_manager | Crash recovery complete | positions_reconciled=0 | orders_reconciled=0
2026-02-12 13:57:05 | INFO     | src.risk.risk_engine | Balance verification successful | reported=4737.04 | actual=4737.04
2026-02-12 13:57:05 | INFO     | __main__ | ✓ State restored
2026-02-12 13:57:05 | INFO     | __main__ | ============================================================
2026-02-12 13:57:05 | INFO     | __main__ | ✓ ALL SYSTEMS OPERATIONAL
2026-02-12 13:57:05 | INFO     | __main__ | ============================================================
2026-02-12 13:57:05 | INFO     | __main__ | Starting main trading loop...
2026-02-12 13:57:05 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 13:57:05 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 13:57:05 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 13:57:05 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 13:57:15 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:57:25 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:57:36 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:57:36 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 13:57:36 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 13:57:46 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:57:56 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:58:05 | INFO     | __main__ | System metrics | iteration=60 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 13:58:06 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 13:58:06 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 13:58:07 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:58:07 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 13:58:07 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 13:58:17 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:58:27 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:58:38 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:58:38 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 13:58:38 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 13:58:48 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:58:58 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:59:07 | INFO     | __main__ | System metrics | iteration=120 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 13:59:09 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 13:59:09 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 13:59:09 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:59:09 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 13:59:09 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 13:59:19 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:59:29 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:59:40 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 13:59:40 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 13:59:40 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 13:59:50 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:00:00 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:00:10 | INFO     | __main__ | System metrics | iteration=180 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:00:11 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:00:11 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:00:11 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:00:11 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:00:11 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:00:21 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:00:31 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:00:42 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:00:42 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:00:42 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:00:52 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:01:03 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:01:12 | INFO     | __main__ | System metrics | iteration=240 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:01:13 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:01:13 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:01:13 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:01:13 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:01:13 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:01:23 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:01:34 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:01:44 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:01:44 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:01:44 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:01:54 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:02:05 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:02:14 | INFO     | __main__ | System metrics | iteration=300 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:02:21 | INFO     | src.monitoring.performance_dashboard | Dashboard snapshot saved to data/metrics/dashboard_snapshot.json
2026-02-12 14:02:22 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:02:22 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:02:22 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:02:22 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:02:22 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:02:33 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:02:43 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:02:53 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:02:53 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:02:53 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:03:04 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:03:14 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:03:23 | INFO     | __main__ | System metrics | iteration=360 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:03:24 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:03:24 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:03:24 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:03:24 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:03:24 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:03:35 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:03:45 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:03:55 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:03:55 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:03:56 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:04:06 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:04:16 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:04:25 | INFO     | __main__ | System metrics | iteration=420 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:04:26 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:04:26 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:04:26 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:04:26 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:04:27 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:04:37 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:04:47 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:04:57 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:04:57 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:04:58 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:05:08 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:05:18 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:05:27 | INFO     | __main__ | System metrics | iteration=480 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:05:28 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:05:28 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:05:28 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:05:28 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:05:29 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:05:39 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:05:49 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:06:00 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:06:00 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:06:00 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:06:10 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:06:20 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:06:29 | INFO     | __main__ | System metrics | iteration=540 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:06:30 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:06:30 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:06:31 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:06:31 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:06:31 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:06:41 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:06:51 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:07:02 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:07:02 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:07:02 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:07:12 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:07:23 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:07:32 | INFO     | __main__ | System metrics | iteration=600 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:07:32 | INFO     | src.monitoring.performance_dashboard | Dashboard snapshot saved to data/metrics/dashboard_snapshot.json
2026-02-12 14:07:33 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:07:33 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:07:47 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:07:47 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:07:48 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:07:58 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:08:08 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:08:18 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:08:18 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:08:19 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:08:29 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:08:39 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:08:48 | INFO     | __main__ | System metrics | iteration=660 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:08:49 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:08:49 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:08:49 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:08:49 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:08:50 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:09:00 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:09:10 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:09:20 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:09:20 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:09:21 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
2026-02-12 14:09:31 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:09:41 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:09:50 | INFO     | __main__ | System metrics | iteration=720 | positions=0 | daily_pnl=0.0 | total_pnl=0.0 | kill_switch=False
2026-02-12 14:09:51 | INFO     | __main__ | Waiting for data: 0/10 1m bars for XAUUSD
2026-02-12 14:09:51 | INFO     | __main__ | Waiting for data: 0/10 1m bars for BTCUSD
2026-02-12 14:09:51 | INFO     | src.state.state_manager | State saved successfully | positions=0 | orders=0 | balance=4737.04 | equity=4737.04
2026-02-12 14:09:51 | INFO     | src.portfolio.portfolio_engine | Starting MT5 reconciliation
2026-02-12 14:09:52 | INFO     | src.portfolio.portfolio_engine | Reconciliation successful - no discrepancies
